,scammer,total,closed
0,https://voxya.com/company/resume-to-fill-com-complaints/1230789,1,1
1,https://voxya.com/company/kiran-motors-mumbai-complaints/1230725,1,0
2,https://voxya.com/company/kastech-group-of-companies-hyderabadb-complaints/1230700,1,0
3,https://voxya.com/company/naukri.com-fast-forwarded-services-complaints/14378,9,3
4,https://voxya.com/company/naukri.com-complaints/5950,69,20
5,https://voxya.com/company/impect-international-service-private-limited-complaints/1230438,1,1
6,https://voxya.com/company/ftm-international-complaints/1230412,1,0
7,https://voxya.com/company/hcl-complaints/1230396,1,0
8,https://voxya.com/company/rabbitohs-international-complaints/1222472,8,3
9,https://voxya.com/company/osr-technology-complaints/1230243,1,0
10,https://voxya.com/company/osworld-technology-complaints/1230137,1,1
11,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
12,https://voxya.com/company/strokx-technologies-complaints/1229997,2,0
13,https://voxya.com/company/prizm-global-services-on-behalf-of-amazon-complaints/1228117,4,1
14,https://voxya.com/company/newnuk-india-(opc)-private-limited-complaints/369013,2,0
15,https://voxya.com/company/spark-career-mentors-private-limited-complaints/76380,1,0
16,https://voxya.com/company/minanshika-softech-private-limited-complaints/1226305,3,1
17,https://voxya.com/company/digivision-services-rohini-sector-8-complaints/1229110,2,0
18,https://voxya.com/company/international-recruitment-service-group-bhuvneshwar-orisa-complaints/1229097,1,0
19,https://voxya.com/company/mahindra-and-mahindra-company-complaints/14058,2,0
20,https://voxya.com/company/jiji-technologies-private-limited-complaints/41903,1,0
21,https://voxya.com/company/recruitment-services-complaints/1228376,1,0
22,https://voxya.com/company/my-professions-com-complaints/1227349,1,0
23,https://voxya.com/company/early-salary-complaints/10275,15,5
24,https://voxya.com/company/neto-co-pty-ltd-complaints/1226911,3,1
25,https://voxya.com/company/international-recruitment-service-group-odisha-irsgrp-com-complaints/1227125,1,0
26,https://voxya.com/company/neto-co-pty-ltd-complaints/1226911,3,1
27,https://voxya.com/company/ude-usa-data-entry-complaints/1226865,1,0
28,https://voxya.com/company/international-recruitment-service-group-odisha-complaints/1226826,1,0
29,https://voxya.com/company/telentpro-india-complaints/1226657,1,0
30,https://voxya.com/company/sarva-itech-company-complaints/1219530,1,0
31,https://voxya.com/company/naukri-com-complaints/1209772,16,8
32,https://voxya.com/company/ram-agarwal-associates-complaints/1226753,1,0
33,https://voxya.com/company/international-recruitment-service-group-complaints/1226669,1,0
34,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
35,https://voxya.com/company/roger-west-data-entry-company-complaints/1226485,2,0
36,https://voxya.com/company/roger-west-data-entry-company-complaints/1226485,2,0
37,https://voxya.com/company/bengal-placement-kolkata-complaints/1225853,1,0
38,https://voxya.com/company/skyarise-jobs-complaints/1225762,5,2
39,https://voxya.com/company/adi-software-systems-complaints/1225754,2,0
40,https://voxya.com/company/quickerjob-com-complaints/1225660,1,0
41,https://voxya.com/company/rilo-consultancy-company-anna-nagar-complaints/1225292,1,0
42,https://voxya.com/company/milkyway-multidimensional-services-complaints/1224950,1,0
43,https://voxya.com/company/bharat-nirman-rojgar-complaints/1223534,27,10
44,https://voxya.com/company/mahendra-nath-ghosh-educational-and-welfare-trust-complaints/1224823,1,0
45,https://voxya.com/company/bharat-nirman-rojgar-complaints/1223534,27,10
46,https://voxya.com/company/onlinehomesjobs-in-complaints/1224532,1,0
47,https://voxya.com/company/vectone-india-private-limited-complaints/366259,1,0
48,https://voxya.com/company/recruiter-internationaljobss-com-complaints/1224451,1,0
49,https://voxya.com/company/data-quack-infotech-private-limited-complaints/1224281,1,0
50,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
51,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
52,https://voxya.com/company/alliance-recruitment-agency-complaints/1223926,1,0
53,https://voxya.com/company/career-flow-complaints/1223911,2,0
54,https://voxya.com/company/jobsindia-complaints/1223595,1,0
55,https://voxya.com/company/spectra-data-services-complaints/1222064,2,1
56,https://voxya.com/company/bharat-nirman-rojgar-complaints/1223534,27,10
57,https://voxya.com/company/charcoal-eats-tech-pvt-ltd-complaints/1223477,1,0
58,https://voxya.com/company/7kreinto-private-limited-complaints/389746,1,0
59,https://voxya.com/company/picartzo-services-private-limited-complaints/551665,2,0
60,https://voxya.com/company/triveni-infotech-solution-pvt-ltd-complaints/1223208,1,0
61,https://voxya.com/company/quikr-jobs-complaints/1213969,4,0
62,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
63,https://voxya.com/company/naukri-complaints/198,14,4
64,https://voxya.com/company/spectra-data-services-surat-complaints/1222473,1,0
65,https://voxya.com/company/portuguese-freelance-complaints/1222276,1,0
66,https://voxya.com/company/naukri-fraud-call-complaints/1220058,3,1
67,https://voxya.com/company/janseva-kendra-org-complaints/1214929,2,0
68,https://voxya.com/company/sunshineservice-in-complaints/1222141,1,0
69,https://voxya.com/company/naukri2u.in-complaints/12380,3,1
70,https://voxya.com/company/naukri-complaints/198,14,4
71,https://voxya.com/company/workenstein-collaborativespaces-private-limited-complaints/1221659,2,0
72,https://voxya.com/company/workenstein-collaborativespaces-private-limited-complaints/1221659,2,0
73,https://voxya.com/company/naukri-com-complaints/1209772,16,8
74,https://voxya.com/company/naukri.com-complaints/5950,69,20
75,https://voxya.com/company/dataentry-net-in-complaints/1221477,1,0
76,https://voxya.com/company/tis-india-business-consultants-private-limited-complaints/71811,1,0
77,https://voxya.com/company/career-hub-consultancy-www-careerhubconsultancy-com-complaints/1221306,1,0
78,https://voxya.com/company/assured-naukri-com-delhi-complaints/1221296,1,0
79,https://voxya.com/company/toxsl-technologies-private-limited-complaints/473642,1,0
80,https://voxya.com/company/coredatav-complaints/1220652,1,0
81,https://voxya.com/company/carreerhubs-in-complaints/1220468,1,0
82,https://voxya.com/company/l&t-technology-services-limited-complaints/260834,2,0
83,https://voxya.com/company/qnet-india-vihaan-direct-selling-pvt-ltd-complaints/8227,33,7
84,https://voxya.com/company/quikr-jobs-complaints/1213969,4,0
85,https://voxya.com/company/qnet-india-pvt-ltd-complaints/1208289,4,2
86,https://voxya.com/company/shine-com-recruiter-com-complaints/1214529,2,0
87,https://voxya.com/company/shein.com-complaints/9064,7,3
88,https://voxya.com/company/solution-mantri-data-solution-at-noida-complaints/1219678,1,0
89,https://voxya.com/company/irecruit-solutions-complaints/1219617,1,0
90,https://voxya.com/company/cache-advertising-pvt-ltd-complaints/1217038,5,1
91,https://voxya.com/company/ormino-jobs-vapi-gujarat-complaints/1219413,1,0
92,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
93,https://voxya.com/company/abhans-group-of-india-complaints/1218981,1,0
94,https://voxya.com/company/shine-learning-recruitment-complaints/1218860,4,1
95,https://voxya.com/company/mohan-networking-complaints/1218825,1,0
96,https://voxya.com/company/mahindra-and-mahindra-company-complaints/14058,2,0
97,https://voxya.com/company/falcon-data-solution-complaints/1218689,1,0
98,https://voxya.com/company/synotech-complaints/1218649,1,0
99,https://voxya.com/company/qnet-india-vihaan-direct-selling-pvt-ltd-complaints/8227,33,7
100,https://voxya.com/company/q-net-complaints/1218581,1,0
101,https://voxya.com/company/daya-solutions-online-india-complaints/1218501,1,0
102,https://voxya.com/company/sagesse-international-services-complaints/1212087,3,1
103,https://voxya.com/company/e-source-consultancy-complaints/1218355,1,0
104,https://voxya.com/company/bright-infitech-complaints/1218179,1,0
105,https://voxya.com/company/total-solution-group-complaints/1218241,2,0
106,https://voxya.com/company/suv-solutions-gujrat-complaints/1218290,1,0
107,https://voxya.com/company/vidhi-infotech-complaints/1218280,2,1
108,https://voxya.com/company/synosoft-tech-complaints/1217843,8,3
109,https://voxya.com/company/indeed-india-company-complaints/1218219,1,0
110,https://voxya.com/company/synosoft-tech-complaints/1218217,1,0
111,https://voxya.com/company/shine.com-complaints/15535,25,10
112,https://voxya.com/company/international-career-service-complaints/1218172,1,0
113,https://voxya.com/company/techcaster-in-complaints/1218171,1,0
114,https://voxya.com/company/beyond-infinity-llp-complaints/1218115,1,0
115,https://voxya.com/company/shine.com-complaints/15535,25,10
116,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
117,https://voxya.com/company/naukri.com-complaints/5950,69,20
118,https://voxya.com/company/naukri-com-also-from-wipro-ltd-complaints/1215989,1,0
119,https://voxya.com/company/signaturemarketings-complaints/1218015,1,0
120,https://voxya.com/company/quantic-web-solution-complaints/1217960,1,0
121,https://voxya.com/company/digitech-company-complaints/1217895,1,0
122,https://voxya.com/company/ealry-salary-complaints/1217882,1,0
123,https://voxya.com/company/psd-technologies-complaints/1217859,1,0
124,https://voxya.com/company/naukriindiasearch-com-complaints/1217852,1,0
125,https://voxya.com/company/karvy-digikonnect-hyderabad-complaints/1217840,1,0
126,https://voxya.com/company/ejobtrust-complaints/1210857,3,1
127,https://voxya.com/company/agarwal-packers-and-movers-complaints/474,7,0
128,https://voxya.com/company/polyplex-corporation-ltd-complaints/1217329,1,0
129,https://voxya.com/company/kalam-security-services-complaints/1217297,1,0
130,https://voxya.com/company/naukri.com-complaints/5950,69,20
131,https://voxya.com/company/prominent-overseas-careers-complaints/1217139,2,0
132,https://voxya.com/company/gd-goenka-global-school-hisar-complaints/1217116,1,0
133,https://voxya.com/company/silver-arrow-multisolutions-complaints/1216918,1,0
134,https://voxya.com/company/suv-solutions-complaints/1216877,3,1
135,https://voxya.com/company/naukri.com-complaints/5950,69,20
136,https://voxya.com/company/talento-aviation-services-pvt-ltd-complaints/1209840,3,1
137,https://voxya.com/company/epfo-complaints/1211651,2,0
138,https://voxya.com/company/ramanasri-ias-institute-complaints/1216686,1,0
139,https://voxya.com/company/naukri.com-complaints/5950,69,20
140,https://voxya.com/company/naukri.com-complaints/5950,69,20
141,https://voxya.com/company/weblink-in-pvt-ltd-complaints/1215788,1,0
142,https://voxya.com/company/tarun-photoshop-studio-complaints/1216627,1,0
143,https://voxya.com/company/qnet-india-vihaan-direct-selling-india-pvt-ltd-complaints/1208156,21,6
144,https://voxya.com/company/naukri.com-complaints/5950,69,20
145,https://voxya.com/company/edata-solutions-private-limited-complaints/777157,1,0
146,https://voxya.com/company/naukri-complaints/198,14,4
147,"https://voxya.com/company/shine.com,-international-career-services-complaints/8145",5,3
148,https://voxya.com/company/bigeagle-advance-service-private-limited-complaints/1209975,2,1
149,https://voxya.com/company/careermarts-in-complaints/1216378,1,0
150,https://voxya.com/company/careermarts-in-complaints/1216336,1,0
151,https://voxya.com/company/accenture-complaints/7706,2,0
152,https://voxya.com/company/all-india-security-services-complaints/1216314,1,0
153,https://voxya.com/company/eminent-minds-private-limited-complaints/1216310,1,0
154,https://voxya.com/company/typingwork-complaints/1216301,1,0
155,https://voxya.com/company/dataprovider-online-complaints/1216222,1,0
156,https://voxya.com/company/naukri.com-complaints/5950,69,20
157,https://voxya.com/company/mahindra-&-mahindra-complaints/9711,13,4
158,https://voxya.com/company/qnet-and-vihaan-direct-marketing-complaints/1213652,7,5
159,https://voxya.com/company/oc-technology-complaints/1216133,1,0
160,https://voxya.com/company/naukri-complaints/198,14,4
161,https://voxya.com/company/dataprovider-online-complaints/1216052,1,0
162,https://voxya.com/company/qnet-india-vihaan-direct-selling-india-pvt-ltd-complaints/1208156,21,6
163,https://voxya.com/company/asgar-ali-home-job-provider-complaints/1215921,1,0
164,https://voxya.com/company/vihaan-direct-selling-india-pvt-ltd-qnet-india-complaints/1212700,6,2
165,https://voxya.com/company/reliable-technominds-complaints/1214335,2,1
166,https://voxya.com/company/jan-seva-kendra-complaints/1214792,3,0
167,https://voxya.com/company/marion-placement-complaints/1215807,1,0
168,https://voxya.com/company/kalawati-enterprises-private-limited-complaints/325669,1,0
169,https://voxya.com/company/board-of-school-education-haryana-bhiwani-complaints/1215785,1,0
170,https://voxya.com/company/naukri-complaints/198,14,4
171,https://voxya.com/company/vcare-call-center-india-private-limited-complaints/1215419,1,0
172,https://voxya.com/company/pragati-engineering-management-services-complaints/1215374,1,0
173,https://voxya.com/company/simplilearn-complaints/19888,7,2
174,https://voxya.com/company/dexus-media-complaints/1215282,1,0
175,https://voxya.com/company/unicorn-services-private-limited-complaints/319292,1,0
176,https://voxya.com/company/naukri.com-complaints/5950,69,20
177,https://voxya.com/company/minanshika-software-solution-pvt-ltd-complaints/1215212,1,0
178,https://voxya.com/company/naukri.com-fast-forwarded-services-complaints/14378,9,3
179,https://voxya.com/company/www-jansevakendra-org-complaints/1214922,2,0
180,https://voxya.com/company/rudraksha-technology-limited-complaints/1215079,1,0
181,https://voxya.com/company/profilenaukri-com-complaints/1215063,1,0
182,https://voxya.com/company/qnet-vihaan-direct-selling-complaints/1210552,3,0
183,https://voxya.com/company/royal-films-complaints/1214526,1,0
184,https://voxya.com/company/deaxis-online-work-complaints/1214525,1,0
185,https://voxya.com/company/adsmacro.com-complaints/14036,29,7
186,https://voxya.com/company/mahindra-and-mahindra-complaints/6704,4,1
187,https://voxya.com/company/airlines-recruiter-complaints/1214353,1,0
188,https://voxya.com/company/naukri.com-complaints/5950,69,20
189,https://voxya.com/company/qnet-india-vihaan-direct-selling-india-pvt-ltd-complaints/1208156,21,6
190,https://voxya.com/company/veejobs-complaints/1214047,1,0
191,https://voxya.com/company/foretell-realty-pvt-ltd-complaints/1213866,1,0
192,https://voxya.com/company/resume-bott-the-hub-of-freelincener-complaints/1213771,1,0
193,https://voxya.com/company/sasken-communication-technologies-limited-complaints/457117,1,0
194,https://voxya.com/company/cinch-it-solutions-llp-complaints/1213612,1,0
195,https://voxya.com/company/elentrus-infotech-pvt-ltd-complaints/1213611,3,2
196,https://voxya.com/company/rsk-health-and-green-pvt-ltd-complaints/1213512,1,0
197,https://voxya.com/company/jumbo-jobs-hyderabad-complaints/16816,4,1
198,https://voxya.com/company/qnet-india-vihaan-direct-selling-india-pvt-ltd-complaints/1208156,21,6
199,https://voxya.com/company/resumebot-complaints/1213036,1,0
200,https://voxya.com/company/rerecruiter-complaints/1212885,1,0
201,https://voxya.com/company/arbortec-systems-pvt-ltd-complaints/1212814,1,0
202,https://voxya.com/company/qnet-india-vihaan-direct-selling-india-pvt-ltd-complaints/1208156,21,6
203,https://voxya.com/company/phenix-data-outsourcing-complaints/1201612,4,1
204,https://voxya.com/company/resume-bizz-complaints/1212217,3,2
205,https://voxya.com/company/ijobs-career-complaints/1210052,2,1
206,https://voxya.com/company/subhani-xerox-gulbarga-university-complaints/1212172,2,0
207,https://voxya.com/company/cvcareer.in-complaints/19386,2,0
208,https://voxya.com/company/delhi-school-of-internet-marketing-complaints/1211950,1,0
209,https://voxya.com/company/ijobs-career-complaints/1210052,2,1
210,https://voxya.com/company/e-zone-enterprise-complaints/19013,3,0
211,https://voxya.com/company/india-complaints/1210582,1,0
212,https://voxya.com/company/dionysus-airways-pvt-ltd-complaints/1210492,1,0
213,https://voxya.com/company/tarrace-pharmaceuticals-pvt-ltd-complaints/1210266,1,0
214,https://voxya.com/company/siena-services-complaints/1201952,2,0
215,https://voxya.com/company/stn-solution-complaints/1209455,2,0
216,https://voxya.com/company/early-salary-complaints/10275,15,5
217,https://voxya.com/company/talento-aviation-services-pvt-ltd-complaints/1209840,3,1
218,https://voxya.com/company/careersfly-complaints/19639,2,0
219,https://voxya.com/company/udupi-project-complaints/1209769,3,0
220,https://voxya.com/company/stn-solutions-complaints/1207945,10,5
221,https://voxya.com/company/stn-solutions-complaints/1207945,10,5
222,https://voxya.com/company/webyugg-complaints/1209465,1,0
223,https://voxya.com/company/wooe.in-complaints/8733,5,3
224,https://voxya.com/company/ausskill-international-hotel-school-complaints/1209367,1,0
225,https://voxya.com/company/ormino-jobs-pvt-ltd-complaints/1209283,1,0
226,https://voxya.com/company/ds-home-jobs-pvt-ltd-complaints/1208299,2,0
227,https://voxya.com/company/jumbo-jobs-hyderabad-complaints/16816,4,1
228,https://voxya.com/company/trouvaille-marketing-private-limited-complaints/1208904,1,0
229,https://voxya.com/company/ds-home-jobs-pvt-ltd-complaints/1208299,2,0
230,https://voxya.com/company/skill-india-jobs-complaints/1208253,1,0
231,https://voxya.com/company/eltizam-management-complaints/1208091,1,0
232,https://voxya.com/company/ihr-solutions-job-consultancy-complaints/1207909,2,0
233,https://voxya.com/company/ihr-solutions-job-consultancy-complaints/1207909,2,0
234,https://voxya.com/company/careersbuzz-in-complaints/1205143,2,1
235,https://voxya.com/company/global-business-intelligence-services-private-limited-complaints/1207314,1,0
236,https://voxya.com/company/appsums-technologies-pvt-ltd-complaints/1207142,1,0
237,https://voxya.com/company/step-up-education-pvt-ltd-mohali-complaints/1206110,2,0
238,https://voxya.com/company/seina-services-complaints/1201914,3,0
239,https://voxya.com/company/csr-company-complaints/1200515,2,0
240,https://voxya.com/company/sibleynz.com-complaints/1201677,1,0
241,https://voxya.com/company/naukriplace.com-complaints/15786,8,2
242,https://voxya.com/company/procter-and-gamble-complaints/1200998,1,0
243,https://voxya.com/company/exceligo-overseas-hr-services-opc-pvt-ltd-complaints/1200809,1,0
244,https://voxya.com/company/naukriplace.com-complaints/15786,8,2
245,https://voxya.com/company/naukriplace.com-complaints/15786,8,2
246,https://voxya.com/company/csr-company-complaints/1200515,2,0
247,https://voxya.com/company/global-consultancy-complaints/1200469,1,0
248,https://voxya.com/company/air-delphik-service-complaints/1200436,1,0
249,https://voxya.com/company/fini-technology-complaints/13519,4,2
250,https://voxya.com/company/naukrigo.com-complaints/19771,2,0
251,https://voxya.com/company/www.udupipowerproject.com-complaints/1200389,3,2
252,https://voxya.com/company/mmrda-scomi-utpl-complaints/1200301,1,0
253,https://voxya.com/company/i-way-solution-complaints/1200327,1,0
254,https://voxya.com/company/measure-india-corporation-private-limited-complaints/756282,1,0
255,https://voxya.com/company/udupipowerproject.com-complaints/1200230,1,0
256,https://voxya.com/company/shovia-services-complaints/21356,2,0
257,https://voxya.com/company/mother-dairy-complaints/4291,2,1
258,https://voxya.com/company/job4india-complaints/15481,7,3
259,https://voxya.com/company/navya-jobs-complaints/21284,1,0
260,https://voxya.com/company/ezone-enterprise-complaints/19450,1,0
261,https://voxya.com/company/nbj-infotech-complaints/13884,5,2
262,https://voxya.com/company/stm-address-324-galaxy-emperia-warud-road-aurangabad-maharashtra-complaints/21163,1,0
263,https://voxya.com/company/rp-estates-uppal-complaints/21104,1,0
264,https://voxya.com/company/ads-macro-complaints/21009,9,6
265,https://voxya.com/company/kansaz-immigration-complaints/20990,1,0
266,https://voxya.com/company/wrkpays-complaints/20381,4,0
267,https://voxya.com/company/naukri.com-complaints/5950,69,20
268,https://voxya.com/company/hire-in-global-complaints/6773,3,0
269,https://voxya.com/company/computer-complex-pvt-ltd-complaints/20807,1,0
270,https://voxya.com/company/coal-india-complaints/16413,2,0
271,https://voxya.com/company/professional-scouts-complaints/20608,3,0
272,https://voxya.com/company/tag-assessors-guild-private-limited-complaints/20561,1,0
273,https://voxya.com/company/confirm-immigration-complaints/20169,1,0
274,https://voxya.com/company/flex-enterprise-complaints/19445,4,2
275,https://voxya.com/company/cvcareers.in-complaints/20060,2,0
276,https://voxya.com/company/naukriplace.com-complaints/15786,8,2
277,https://voxya.com/company/naukrigo.com-complaints/19771,2,0
